dia_semana,festivo,hora_sin,hora_cos,semana_sin,semana_cos,linea_LÍNEA 1,linea_LÍNEA 2,linea_LÍNEA A,linea_LÍNEA B,linea_LÍNEA H,linea_LÍNEA J,linea_LÍNEA K,linea_LÍNEA L,linea_LÍNEA M,linea_LÍNEA O,linea_LÍNEA P,linea_LÍNEA T-A,lag_1,lag_1_missing,promedio_dia_anterior,misma_hora_semana_anterior
0.5203559449484421,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.1556406880126166,0,-0.003216307963702629,-0.2995210747512583
0.5203559449484421,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.24441370008972263,0,-0.003216307963702629,-0.4137067249326669
1.0305420668685759,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.4178000745351788,1,0.008293377886980025,-0.1799464312843513
1.0305420668685759,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.2532402738619606,0,0.008293377886980025,0.24822433711628245
1.0305420668685759,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.06402693954904318,0,0.008293377886980025,0.41019917303701614
1.0305420668685759,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.029717361204380777,0,0.008293377886980025,0.35295382926842034
1.0305420668685759,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.06482074655144213,0,0.008293377886980025,0.09529894275044222
1.0305420668685759,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.03602539516815031,0,0.008293377886980025,0.03652841220293181
1.0305420668685759,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.04840288942347252,0,0.008293377886980025,-0.021733722751607044
1.0305420668685759,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.06291093596864528,0,0.008293377886980025,0.011617028147326194
1.0305420668685759,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.021415893752032292,0,0.008293377886980025,0.04974669762019194
1.0305420668685759,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.01967332898079964,0,0.008293377886980025,0.047103040536739915
1.0305420668685759,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.06025527735890525,0,0.008293377886980025,0.07608158933611789
1.0305420668685759,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.05925856061461577,0,0.008293377886980025,0.10150136898469506
1.0305420668685759,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.050736351455213595,0,0.008293377886980025,0.26256109283808
1.0305420668685759,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.03206865520128501,0,0.008293377886980025,0.3944389096548983
1.0305420668685759,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.035619575684369256,0,0.008293377886980025,0.1973847778191281
1.0305420668685759,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.0060962082392974236,0,0.008293377886980025,-0.008413758215752612
1.0305420668685759,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.05489600116396942,0,0.008293377886980025,-0.11649866128150271
1.0305420668685759,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.1325089774370964,0,0.008293377886980025,-0.18014978952153993
1.0305420668685759,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.18485969084485263,0,0.008293377886980025,-0.2995210747512583
1.0305420668685759,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.24492097444444894,0,0.008293377886980025,-0.4137067249326669
1.5407281887887097,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.4178000745351788,1,-0.08568261380106804,-0.1799464312843513
1.5407281887887097,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.375594848221949,0,-0.08568261380106804,0.24822433711628245
